,Order,Name,URL,Video,Notes (not displayed)
,86,Frozen Elsa,/images/art-lessons/frozen-elsa.pdf,FALSE,
,87,Giraffe Face,/images/art-lessons/giraffe-face.pdf,FALSE,
,88,Gobo Fraggle,/images/art-lessons/gobo-fraggle.pdf,FALSE,
,89,Goose,/images/art-lessons/goose.pdf,FALSE,
,90,Gorilla Face,/images/art-lessons/gorilla-face.pdf,FALSE,
,91,Grinch,/images/art-lessons/grinch.pdf,FALSE,
,92,Grumpy Cat,/images/art-lessons/grumpy-cat.pdf,FALSE,
,93,Guy,/images/art-lessons/guy.pdf,FALSE,
,94,Hamster,/images/art-lessons/hamster.pdf,FALSE,
,95,Hanging Bat,/images/art-lessons/hanging-bat.pdf,FALSE,
,96,Happy Pig,/images/art-lessons/happy-pig.pdf,FALSE,
,97,Haunted House,/images/art-lessons/haunted-house.pdf,FALSE,
,98,Hippo Head,/images/art-lessons/hippo-head.pdf,FALSE,
,99,Hippo,/images/art-lessons/hippo.pdf,FALSE,
,100,Holiday Teddy Bear,/images/art-lessons/holiday-teddy-bear.pdf,FALSE,
,101,Horse,/images/art-lessons/horse.pdf,FALSE,
,102,Hot Air Balloons,/images/art-lessons/hot-air-balloons.pdf,FALSE,
,103,House Boat,/images/art-lessons/house-boat.pdf,FALSE,
,104,How-to-Draw-eBook_201-201,/images/art-lessons/how-to-draw-ebook_201-201.pdf,FALSE,
,105,How-to-Draw-eBook_202-end,/images/art-lessons/how-to-draw-ebook_202-end.pdf,FALSE,
,106,Humpback Whale,/images/art-lessons/humpback-whale.pdf,FALSE,
,107,Indri Lemur,/images/art-lessons/indri-lemur.pdf,FALSE,
,108,Island Lighthouse,/images/art-lessons/island-lighthouse.pdf,FALSE,
,109,Jumping Frog,/images/art-lessons/jumping-frog.pdf,FALSE,
,110,Kangaroo And Baby,/images/art-lessons/kangaroo-and-baby.pdf,FALSE,
,111,Kangaroo,/images/art-lessons/kangaroo.pdf,FALSE,
,112,Killer Whale,/images/art-lessons/killer-whale.pdf,FALSE,
,113,Kimono Girl,/images/art-lessons/kimono-girl.pdf,FALSE,
,114,King Tut,/images/art-lessons/king-tut.pdf,FALSE,
,115,Koala,/images/art-lessons/koala.pdf,FALSE,
,116,Koi Fish,/images/art-lessons/koi-fish.pdf,FALSE,
,117,Labrador Dog,/images/art-lessons/labrador-dog.pdf,FALSE,
,118,Lady,/images/art-lessons/lady.pdf,FALSE,
,119,Lakeside Landscape,/images/art-lessons/lakeside-landscape.pdf,FALSE,
,120,Lemur,/images/art-lessons/lemur.pdf,FALSE,
,121,Leopard,/images/art-lessons/leopard.pdf,FALSE,
,122,Leprechaun,/images/art-lessons/leprechaun.pdf,FALSE,
,123,Lion Face,/images/art-lessons/lion-face.pdf,FALSE,
,124,London Big Ben,/images/art-lessons/london-big-ben.pdf,FALSE,
,125,Martin Luther King Jr,/images/art-lessons/martin-luther-king-jr.pdf,FALSE,
,126,Mastadon,/images/art-lessons/mastadon.pdf,FALSE,
,127,Mayflower,/images/art-lessons/mayflower.pdf,FALSE,
,128,Megaladon,/images/art-lessons/megaladon.pdf,FALSE,
,129,Menorah,/images/art-lessons/menorah.pdf,FALSE,
,130,Mermaid,/images/art-lessons/mermaid.pdf,FALSE,
,131,Midieval Castle,/images/art-lessons/midieval-castle.pdf,FALSE,
,132,Minion,/images/art-lessons/minion.pdf,FALSE,
,133,Modern Robot,/images/art-lessons/modern-robot.pdf,FALSE,
,134,Monkey,/images/art-lessons/monkey.pdf,FALSE,
,135,Monster,/images/art-lessons/monster.pdf,FALSE,
,136,Mouse,/images/art-lessons/mouse.pdf,FALSE,
,137,Mushroom House,/images/art-lessons/mushroom-house.pdf,FALSE,
,138,Ornithomimus Dinosaur,/images/art-lessons/ornithomimus-dinosaur.pdf,FALSE,
,139,Otter,/images/art-lessons/otter.pdf,FALSE,
,140,Owl Family,/images/art-lessons/owl-family.pdf,FALSE,
,141,Pajama Girl,/images/art-lessons/pajama-girl.pdf,FALSE,
,142,Panda,/images/art-lessons/panda.pdf,FALSE,
,143,Parasour Dinosaur,/images/art-lessons/parasour-dinosaur.pdf,FALSE,
,144,Parrot,/images/art-lessons/parrot.pdf,FALSE,
,145,Penguin,/images/art-lessons/penguin.pdf,FALSE,
,146,Piccaso Frankenstein,/images/art-lessons/piccaso-frankenstein.pdf,FALSE,
,147,Pickup Truck,/images/art-lessons/pickup-truck.pdf,FALSE,
,148,Pig,/images/art-lessons/pig.pdf,FALSE,
,149,Pigtail Girl,/images/art-lessons/pigtail-girl.pdf,FALSE,
,150,Plesiosaurus Dinosaur,/images/art-lessons/plesiosaurus-dinosaur.pdf,FALSE,
,151,Poinsettia Flower,/images/art-lessons/poinsettia-flower.pdf,FALSE,
,152,Polar Bear,/images/art-lessons/polar-bear.pdf,FALSE,
,153,Princess,/images/art-lessons/princess.pdf,FALSE,
,154,Pterodactyl,/images/art-lessons/pterodactyl.pdf,FALSE,
,155,Puffin,/images/art-lessons/puffin.pdf,FALSE,
,156,Python,/images/art-lessons/python.pdf,FALSE,
,157,Raccoon,/images/art-lessons/raccoon.pdf,FALSE,
,158,Race Car,/images/art-lessons/race-car.pdf,FALSE,
,159,Realistic Fox,/images/art-lessons/realistic-fox.pdf,FALSE,
,160,Red Fraggle,/images/art-lessons/red-fraggle.pdf,FALSE,
,161,Red Panda,/images/art-lessons/red-panda.pdf,FALSE,
,162,Road,/images/art-lessons/road.pdf,FALSE,
,163,Robot,/images/art-lessons/robot.pdf,FALSE,
,164,Rocket,/images/art-lessons/rocket.pdf,FALSE,
,165,Romero Britto Cat,/images/art-lessons/romero-britto-cat.pdf,FALSE,
,166,Rooster Head,/images/art-lessons/rooster-head.pdf,FALSE,
,167,Rooster,/images/art-lessons/rooster.pdf,FALSE,
,168,Rose Flower,/images/art-lessons/rose-flower.pdf,FALSE,
,169,Rudolph The Red Nosed Reindeer,/images/art-lessons/rudolph-the-red-nosed-reindeer.pdf,FALSE,
,170,Running Bunny,/images/art-lessons/running-bunny.pdf,FALSE,
,171,Russian Building,/images/art-lessons/russian-building.pdf,FALSE,
,172,Saurolophus Dinosaur,/images/art-lessons/saurolophus-dinosaur.pdf,FALSE,
,173,Scarecrow Face,/images/art-lessons/scarecrow-face.pdf,FALSE,
,174,Sea Turtle,/images/art-lessons/sea-turtle.pdf,FALSE,
,175,Seagull,/images/art-lessons/seagull.pdf,FALSE,
,176,Seashells,/images/art-lessons/seashells.pdf,FALSE,
,177,Sheep,/images/art-lessons/sheep.pdf,FALSE,
,178,Shop Building,/images/art-lessons/shop-building.pdf,FALSE,
,179,Silly Cat,/images/art-lessons/silly-cat.pdf,FALSE,
,180,Sitting Bunny,/images/art-lessons/sitting-bunny.pdf,FALSE,
,181,Sitting Fox,/images/art-lessons/sitting-fox.pdf,FALSE,
,182,Smart Guy,/images/art-lessons/smart-guy.pdf,FALSE,
,183,Snake,/images/art-lessons/snake.pdf,FALSE,
,184,Snowman On Skis,/images/art-lessons/snowman-on-skis.pdf,FALSE,
,185,Snowman,/images/art-lessons/snowman.pdf,FALSE,
,186,Snowy Winter Night,/images/art-lessons/snowy-winter-night.pdf,FALSE,
,187,Sombrero Boy,/images/art-lessons/sombrero-boy.pdf,FALSE,
,188,Speed Train,/images/art-lessons/speed-train.pdf,FALSE,
,189,Spiked Dragon,/images/art-lessons/spiked-dragon.pdf,FALSE,
,190,Spinosaurus Dinosaur,/images/art-lessons/spinosaurus-dinosaur.pdf,FALSE,
,191,Sports Car,/images/art-lessons/sports-car.pdf,FALSE,
,192,Standing Bear,/images/art-lessons/standing-bear.pdf,FALSE,
,193,Stegosaurus Dinosaur,/images/art-lessons/stegosaurus-dinosaur.pdf,FALSE,
,194,Stone House,/images/art-lessons/stone-house.pdf,FALSE,
,195,Storybook Bear,/images/art-lessons/storybook-bear.pdf,FALSE,
,196,Storybook Bunny,/images/art-lessons/storybook-bunny.pdf,FALSE,
,197,Storybook Fox,/images/art-lessons/storybook-fox.pdf,FALSE,
,198,Swan,/images/art-lessons/swan.pdf,FALSE,
,199,T-Rex Head,/images/art-lessons/t-rex-head.pdf,FALSE,
,200,T-Rex,/images/art-lessons/t-rex.pdf,FALSE,
,201,Teddy Bear,/images/art-lessons/teddy-bear.pdf,FALSE,
,202,Tiger Face,/images/art-lessons/tiger-face.pdf,FALSE,
,203,Tree,/images/art-lessons/tree.pdf,FALSE,
,204,Tricerotops,/images/art-lessons/tricerotops.pdf,FALSE,
,205,Tropical Bird,/images/art-lessons/tropical-bird.pdf,FALSE,
,206,Tugboat,/images/art-lessons/tugboat.pdf,FALSE,
,207,Turkey With A Hat,/images/art-lessons/turkey-with-a-hat.pdf,FALSE,
,208,Umbrella Kid,/images/art-lessons/umbrella-kid.pdf,FALSE,
,209,VW Beetle Car,/images/art-lessons/vw-beetle-car.pdf,FALSE,
,210,Vampire,/images/art-lessons/vampire.pdf,FALSE,
,211,Velociraptor Dinosaur,/images/art-lessons/velociraptor-dinosaur.pdf,FALSE,
,212,Viking Ship,/images/art-lessons/viking-ship.pdf,FALSE,
,213,Weasel,/images/art-lessons/weasel.pdf,FALSE,
,214,Whale,/images/art-lessons/whale.pdf,FALSE,
,215,Yellowtail Fish,/images/art-lessons/yellowtail-fish.pdf,FALSE,
